label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849C-3H-2,36",21.86,28.1763,12.6891,1000.95,3.9,-0.08,"Mix et al., 1995"
"138-849C-3H-2,46",21.96,28.2763,12.7377,1004.58,3.96,-0.16,"Mix et al., 1995"
"138-849C-3H-2,56",22.06,28.3763,12.7863,1008.22,4.09,-0.23,"Mix et al., 1995"
"138-849C-3H-2,66",22.16,28.4763,12.8349,1011.86,4.28,-0.11,"Mix et al., 1995"
"138-849C-3H-2,76",22.26,28.5763,12.8835,1015.69,4.04,-0.08,"Mix et al., 1995"
"138-849C-3H-2,86",22.36,28.6763,12.9321,1019.52,3.89,0.02,"Mix et al., 1995"
"138-849C-3H-2,96",22.46,28.7763,12.9807,1023.35,3.69,0.07,"Mix et al., 1995"
"138-849C-3H-2,106",22.56,28.8763,13.0293,1027.17,3.67,0.05,"Mix et al., 1995"
"138-849C-3H-2,116",22.66,28.9763,13.0779,1030.88,3.88,-0.12,"Mix et al., 1995"
"138-849C-3H-2,126",22.76,29.0763,13.1265,1034.59,3.92,-0.14,"Mix et al., 1995"
"138-849C-3H-2,136",22.86,29.1763,13.1771,1038.29,4.31,-0.26,"Mix et al., 1995"
