lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
3099.867092,3112.892079,3120.069112,48.36,CWUEL,2.96,3.60,-0.01
3103.056885,3115.417331,3122.195641,48.41,CWUEL,2.86,3.50,-0.07
3109.037746,3119.53748,3126.049973,48.51,CWUEL,3.01,3.65,0.05
3115.284423,3123.524721,3129.771398,48.61,CWUEL,3.02,3.66,0.01
3117.942584,3125.651249,3131.765019,48.66,CWUEL,2.90,3.54,-0.07
3121.265284,3127.64487,3134.024455,48.71,CWUEL,2.98,3.62,-0.11
3125.385433,3131.632111,3138.277512,48.81,CWUEL,3.02,3.66,-0.15
3129.505582,3136.150984,3142.131845,48.91,CWUEL,3.13,3.77,-0.41
3132.163743,3138.676236,3144.790005,48.96,CWUEL,3.09,3.73,-0.24
3135.087719,3141.068581,3146.916534,49.01,CWUEL,3.03,3.67,-0.30
3141.334397,3146.384902,3152.365763,49.12,CWUEL,3.12,3.76,-0.30
3145.055821,3149.17597,3155.422648,49.17,CWUEL,2.74,3.38,-0.12
3147.979798,3151.701223,3158.346624,49.21,CWUEL,2.70,3.34,-0.11
3151.169591,3155.28974,3162.200957,49.27,CWUEL,2.62,3.26,-0.02
3153.296119,3158.346624,3164.992026,49.32,CWUEL,2.48,3.12,0.09
3155.95428,3161.536417,3168.447634,49.37,CWUEL,2.53,3.17,0.01
3159.94152,3166.985646,3175.624668,49.47,CWUEL,2.68,3.32,0.10
3164.593301,3172.301967,3182.535885,49.57,CWUEL,2.89,3.53,0.08
3166.852738,3175.624668,3185.459862,49.62,CWUEL,2.75,3.39,0.02
3169.245082,3179.213184,3188.782562,49.67,CWUEL,2.74,3.38,0.08
3174.561404,3187.054758,3197.155768,49.8,CWUEL,2.86,3.50,0.12
3178.14992,3192.769803,3202.206273,49.87,CWUEL,2.93,3.57,0.26
3180.542265,3195.560872,3205.661882,49.92,CWUEL,2.82,3.46,0.26
3183.333333,3198.484848,3208.585859,49.97,CWUEL,2.76,3.40,0.26
3188.118022,3203.535354,3213.90218,50.07,CWUEL,2.72,3.36,0.33
3193.567251,3208.585859,3218.553961,50.17,CWUEL,2.76,3.40,0.28
3197.155768,3211.111111,3220.813397,50.22,CWUEL,2.72,3.36,0.34
3200.611377,3213.636364,3223.737374,50.27,CWUEL,2.67,3.31,0.28
3207.522594,3218.022329,3228.787879,50.37,CWUEL,2.74,3.38,0.29
3211.244019,3220.547581,3231.844763,50.42,CWUEL,2.86,3.50,0.21
3213.503456,3223.072834,3234.635832,50.47,CWUEL,2.79,3.43,0.18
3217.22488,3225.863902,3237.692717,50.52,CWUEL,2.89,3.53,0.14
3219.750133,3228.654971,3240.483785,50.57,CWUEL,2.90,3.54,0.23
3223.737374,3234.1042,3244.86975,50.67,CWUEL,2.77,3.41,0.03
3228.389155,3239.553429,3248.724083,50.77,CWUEL,2.72,3.36,0.20
3231.180223,3242.21159,3250.983519,50.82,CWUEL,2.71,3.35,0.15
3234.237108,3244.736842,3252.97714,50.87,CWUEL,2.70,3.34,0.12
3239.819245,3249.122807,3257.761829,50.97,CWUEL,2.72,3.36,0.14
3245.53429,3253.64168,3262.945242,51.07,CWUEL,2.72,3.36,0.15
